Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
11/03/2004;16.00.00;-200,0;-200;240;15,2;1447;346;1321;232;2330;964;15,6;58,0;1,0954
11/03/2004;17.00.00;1,9;1346;187;12,8;1431;267;1245;162;1816;816;20,8;64,4;1,0125
11/03/2004;18.00.00;2,1;1477;225;12,6;1479;298;1259;180;2175;689;21,3;80,0;1,2148
11/03/2004;19.00.00;2,2;1336;151;13,2;1613;258;1110;151;1962;765;18,8;45,5;1,0216
11/03/2004;20.00.00;1,7;1259;245;13,7;1595;-200;-200;69;1452;515;19,2;52,1;1,1619
11/03/2004;21.00.00;2,0;1419;255;10,1;1309;225;1172;153;1787;-200;17,4;45,2;1,0622
11/03/2004;22.00.00;1,6;1325;223;12,0;1329;253;1176;164;1843;960;17,2;55,0;1,2169
11/03/2004;23.00.00;1,6;1294;234;7,3;1213;268;1239;172;2152;827;19,0;73,4;1,0092
12/03/2004;00.00.00;1,4;1379;189;10,2;1133;191;1155;125;1793;861;14,4;41,0;0,9752
12/03/2004;01.00.00;2,1;1445;189;15,9;1516;216;1249;98;1498;1124;19,1;42,3;1,2158
12/03/2004;02.00.00;1,5;1360;157;9,4;1334;314;1594;121;2099;1082;15,9;49,5;1,0226
12/03/2004;03.00.00;1,2;1237;216;7,1;1244;181;1140;80;1635;938;13,8;41,3;0,9105
12/03/2004;04.00.00;1,8;1335;181;9,7;1417;286;1212;174;2152;872;11,5;29,2;0,9114
12/03/2004;05.00.00;1,3;1229;177;12,0;1387;283;1378;139;1951;765;14,2;54,5;1,1606
12/03/2004;06.00.00;-200,0;-200;211;11,4;1497;274;1216;120;1812;733;11,9;49,9;0,7909
12/03/2004;07.00.00;1,3;1295;187;8,6;1189;263;1156;147;1620;632;8,7;68,7;0,8478
12/03/2004;08.00.00;1,6;1309;205;13,6;1434;267;1297;176;2063;326;9,2;36,8;0,9753
12/03/2004;09.00.00;2,2;1461;161;13,2;1492;225;1292;167;2203;960;12,0;47,2;0,9391
12/03/2004;10.00.00;2,5;1542;217;10,6;1445;364;1369;209;2217;651;11,0;46,1;1,0778
12/03/2004;11.00.00;2,4;1452;246;12,4;1512;291;1314;121;1643;1090;10,3;49,6;0,8555
12/03/2004;12.00.00;2,4;1462;208;17,1;1756;359;1464;177;2059;932;13,8;42,7;1,0175
12/03/2004;13.00.00;2,4;1500;-200;12,2;1460;318;1242;104;1953;465;14,8;58,3;1,1398
12/03/2004;14.00.00;-200,0;-200;240;8,7;1332;331;1219;197;2218;836;15,2;50,0;1,1162
12/03/2004;15.00.00;2,3;1476;205;13,5;1476;328;1216;167;1747;889;13,3;39,5;0,8152
12/03/2004;16.00.00;2,3;1402;224;13,4;1499;290;1408;134;1719;1168;15,5;57,1;1,1375
12/03/2004;17.00.00;2,7;1581;223;16,0;1879;364;1381;118;1521;918;19,0;45,5;1,0848
12/03/2004;18.00.00;2,4;1578;220;11,9;1483;239;1116;130;1810;693;15,7;52,2;0,9343
12/03/2004;19.00.00;1,6;1285;243;12,1;1406;332;1395;124;2152;857;18,6;54,9;1,0113
12/03/2004;20.00.00;2,1;1351;230;12,7;1514;339;1508;148;1945;561;19,5;42,1;1,0153
12/03/2004;21.00.00;1,8;1342;165;11,5;1269;250;1084;-200;-200;955;20,1;52,5;1,0101
12/03/2004;22.00.00;1,5;1296;-200;11,7;1354;261;1035;111;1899;804;18,3;34,8;1,1850
12/03/2004;23.00.00;1,8;1399;192;12,9;1422;242;1333;171;1841;699;17,9;31,9;1,2595
13/03/2004;00.00.00;1,6;1326;203;12,3;1340;199;1151;80;1651;994;14,8;55,2;1,0029
13/03/2004;01.00.00;1,5;1284;222;12,8;1618;231;1055;147;1747;413;16,0;50,5;1,1714
13/03/2004;02.00.00;0,9;1194;179;5,3;1114;226;1109;-200;-200;858;15,6;59,0;1,1339
13/03/2004;03.00.00;1,1;1168;183;7,3;1221;287;1174;122;1778;893;12,2;27,5;0,8352
13/03/2004;04.00.00;1,4;1314;124;11,2;1347;223;1210;146;1824;548;11,7;59,5;0,9127
13/03/2004;05.00.00;1,6;1408;-200;11,5;1260;248;1299;112;1720;601;12,4;47,0;1,0632
13/03/2004;06.00.00;1,3;1201;184;8,6;1222;305;1377;103;1700;1064;11,4;46,0;1,0395
13/03/2004;07.00.00;1,5;1224;203;10,4;1275;279;1275;121;1681;-200;8,5;68,4;0,7765
13/03/2004;08.00.00;1,4;1253;198;9,1;1152;184;1107;-200;-200;945;11,0;47,7;0,7883
13/03/2004;09.00.00;1,5;1233;171;12,1;1481;263;1153;122;1861;850;9,7;45,3;0,9696
13/03/2004;10.00.00;2,2;1374;-200;10,6;1303;342;1339;165;2123;528;11,6;45,9;0,8642
13/03/2004;11.00.00;2,5;1421;200;13,4;1289;438;1578;152;2129;990;7,2;39,1;0,8440
13/03/2004;12.00.00;2,1;1412;254;14,3;1513;315;1303;143;2216;767;13,6;50,6;0,9235
13/03/2004;13.00.00;2,5;1476;157;11,2;1363;-200;-200;156;2160;787;14,6;68,1;0,9298
13/03/2004;14.00.00;2,3;1480;190;-200,0;-200;226;990;136;1966;693;15,5;30,7;1,0056
13/03/2004;15.00.00;2,0;1369;200;10,5;1334;269;1326;166;2242;897;15,6;59,4;1,0656
13/03/2004;16.00.00;2,2;1387;262;10,7;1275;263;1120;161;1938;982;18,5;49,7;1,2943
13/03/2004;17.00.00;2,5;1502;246;-200,0;-200;359;1208;150;1744;-200;19,2;39,5;0,9890
13/03/2004;18.00.00;1,9;1334;159;8,5;1158;383;1395;104;1796;945;18,3;53,8;1,0005
13/03/2004;19.00.00;2,3;1485;215;15,8;1661;337;1352;185;1923;842;20,5;50,7;1,0539
13/03/2004;20.00.00;0,9;1099;199;7,3;1281;281;1465;138;1869;661;18,7;46,1;1,1142
13/03/2004;21.00.00;1,8;1255;-200;8,9;998;299;1249;153;1913;799;16,4;54,0;0,9374
13/03/2004;22.00.00;1,5;1214;184;11,1;1278;264;1250;180;2124;1107;18,2;51,0;1,1049
13/03/2004;23.00.00;1,3;1230;152;10,3;1359;194;1121;145;1959;750;19,5;55,1;0,8820
14/03/2004;00.00.00;1,3;1244;198;13,3;1475;269;1087;124;1840;967;17,3;51,9;0,9310
14/03/2004;01.00.00;0,6;1131;167;8,7;1364;182;1054;97;1554;1037;16,6;33,6;1,0152
14/03/2004;02.00.00;-200,0;-200;197;9,7;1409;261;1197;106;1583;938;12,0;34,1;0,8607
14/03/2004;03.00.00;1,3;1222;210;11,9;1489;250;1209;134;1826;832;13,6;45,7;1,0551
14/03/2004;04.00.00;1,7;1413;210;13,3;1297;246;1235;163;2051;1147;12,6;44,1;0,9299
14/03/2004;05.00.00;1,2;1296;201;6,5;1108;-200;-200;153;1996;1011;12,8;51,6;0,8805
14/03/2004;06.00.00;1,2;1290;235;10,5;1391;232;1078;82;1406;795;12,8;41,3;0,9385
14/03/2004;07.00.00;1,4;1299;183;15,2;1554;221;1190;156;1983;859;10,5;45,2;0,9618
14/03/2004;08.00.00;2,0;1414;172;10,7;1322;192;1012;130;1785;984;11,1;55,8;1,0377
14/03/2004;09.00.00;1,9;1345;217;12,2;1531;-200;-200;120;1792;866;7,2;36,5;0,9096
14/03/2004;10.00.00;1,8;1365;165;13,6;1516;298;1472;146;2019;911;11,6;52,8;0,9865
14/03/2004;11.00.00;-200,0;-200;182;13,4;1444;175;870;-200;-200;641;11,9;36,4;1,0974
14/03/2004;12.00.00;2,2;1379;190;10,2;1192;426;1502;106;1709;1036;13,8;46,4;0,8193
14/03/2004;13.00.00;2,5;1413;186;12,8;1612;297;1318;155;1946;818;12,4;48,2;0,9603
14/03/2004;14.00.00;2,0;1418;244;9,5;1305;347;1335;91;1361;892;15,5;41,8;0,9943
14/03/2004;15.00.00;-200,0;-200;214;10,0;1254;199;1113;-200;-200;864;13,7;58,3;0,9985
14/03/2004;16.00.00;2,0;1387;231;14,2;1605;253;1072;107;1751;663;16,2;68,5;0,9814
14/03/2004;17.00.00;1,6;1301;213;12,9;1286;335;1186;138;1697;815;16,6;20,0;1,0195
14/03/2004;18.00.00;2,0;1316;204;15,6;1757;314;1242;129;1946;506;15,4;60,1;1,0750
14/03/2004;19.00.00;1,9;1394;236;13,7;1544;263;1241;121;1808;900;20,5;60,6;1,2002
14/03/2004;20.00.00;1,7;1324;186;11,1;1575;367;1417;74;1616;924;19,2;50,1;1,0596
14/03/2004;21.00.00;1,5;1344;189;9,0;1311;-200;-200;88;1866;1023;20,8;49,7;0,9817
14/03/2004;22.00.00;1,0;1212;159;12,8;1466;283;1124;118;1895;734;18,5;45,0;1,1917
14/03/2004;23.00.00;1,2;1279;228;11,7;1324;209;1061;96;1753;584;17,2;50,6;0,9797
15/03/2004;00.00.00;1,5;1292;190;12,5;1382;194;1081;119;1683;637;16,5;60,6;0,9039
15/03/2004;01.00.00;1,3;1264;206;-200,0;-200;128;860;-200;-200;795;17,4;42,9;1,0827
15/03/2004;02.00.00;1,5;1336;176;13,3;1661;141;997;120;1726;1129;16,6;42,5;1,0713
15/03/2004;03.00.00;1,6;1318;224;8,2;1224;248;1168;96;1760;514;12,0;62,0;1,0779
15/03/2004;04.00.00;2,1;1450;237;9,8;1378;267;1283;128;1962;828;12,9;55,6;0,9323
15/03/2004;05.00.00;1,7;1317;152;9,7;1385;212;1153;125;1779;464;14,2;50,3;1,0115
15/03/2004;06.00.00;1,8;1358;-200;12,4;1396;250;1015;137;1791;697;11,1;61,8;0,9592
15/03/2004;07.00.00;1,8;1449;-200;10,8;1258;260;1367;82;1649;605;9,7;44,5;0,8588
15/03/2004;08.00.00;1,4;1316;183;13,1;1383;233;949;130;1756;699;11,4;57,3;0,8885
15/03/2004;09.00.00;2,1;1397;255;12,2;1255;-200;-200;109;1675;919;10,4;64,0;1,0344
15/03/2004;10.00.00;2,3;1474;181;17,2;1546;329;1351;104;1908;751;9,8;53,5;0,8453
15/03/2004;11.00.00;3,1;1554;229;17,6;1734;403;1536;198;2021;446;10,7;41,0;0,8571
15/03/2004;12.00.00;2,4;1464;195;13,0;1553;335;1342;169;2040;694;11,2;38,3;1,0645
15/03/2004;13.00.00;2,6;1467;258;-200,0;-200;348;1343;-200;-200;794;12,6;44,3;0,8120
15/03/2004;14.00.00;2,5;1520;193;14,4;1610;-200;-200;143;1610;841;16,0;56,3;1,0922
15/03/2004;15.00.00;2,1;1417;158;10,0;1396;297;1348;125;1756;831;18,5;55,3;1,1784
15/03/2004;16.00.00;2,8;1569;246;11,6;1348;300;1186;200;2236;641;17,4;49,8;0,9213
15/03/2004;17.00.00;2,6;1554;223;12,4;1527;221;1031;155;2260;884;20,2;52,0;1,0376
15/03/2004;18.00.00;2,5;1474;255;12,1;1391;284;1182;122;1642;564;20,3;58,9;1,0630
15/03/2004;19.00.00;1,9;1350;230;12,8;1398;249;1330;107;1700;990;19,3;44,9;1,2348
15/03/2004;20.00.00;2,4;1482;221;13,5;1483;244;1225;-200;-200;492;17,9;28,0;1,1167
15/03/2004;21.00.00;1,5;1246;150;8,9;1103;263;1283;118;2077;1066;20,6;71,7;1,2385
15/03/2004;22.00.00;1,9;1384;171;11,3;1359;254;1368;169;2003;-200;20,8;60,4;1,2151
15/03/2004;23.00.00;2,3;1462;165;9,9;1063;295;1370;148;1829;-200;15,3;57,4;0,9531
16/03/2004;00.00.00;1,3;1265;183;11,3;1434;172;1061;89;1642;824;16,5;66,3;1,1816
16/03/2004;01.00.00;1,3;1290;170;7,0;1019;153;1162;182;2202;772;16,3;57,7;0,9354
16/03/2004;02.00.00;1,5;1225;190;10,6;1328;269;1142;99;1928;-200;16,5;45,0;1,0223
16/03/2004;03.00.00;1,4;1208;196;9,4;1420;271;1217;90;1496;770;15,8;67,3;1,0030
16/03/2004;04.00.00;1,1;1161;240;11,3;1371;180;1176;119;1948;1099;12,0;34,5;0,9514
16/03/2004;05.00.00;1,7;1338;217;9,7;1096;-200;-200;147;1985;974;8,7;39,8;1,0428
16/03/2004;06.00.00;1,4;1272;195;9,2;1271;258;1137;101;1801;655;7,0;52,5;0,7521
16/03/2004;07.00.00;2,0;1289;163;12,8;1415;303;1385;161;1818;917;14,7;58,0;0,9961
16/03/2004;08.00.00;1,7;1442;-200;12,3;1510;181;1072;119;1688;855;10,3;48,1;0,9262
16/03/2004;09.00.00;2,6;1419;254;11,1;1343;359;1470;225;2199;-200;10,0;51,4;0,8957
16/03/2004;10.00.00;2,0;1404;222;13,2;1571;226;961;150;1856;821;9,1;47,0;0,8887
16/03/2004;11.00.00;2,3;1479;186;17,4;1714;237;1091;112;1894;974;13,4;45,3;0,7436
16/03/2004;12.00.00;2,7;1499;219;12,4;1508;308;1381;132;1936;851;10,8;50,0;0,9179
16/03/2004;13.00.00;2,1;1454;215;9,8;1279;287;1183;157;1905;880;15,8;25,9;1,0590
16/03/2004;14.00.00;2,6;1463;214;13,2;1590;329;1440;127;1535;788;17,1;45,9;1,0269
16/03/2004;15.00.00;2,9;1583;217;11,0;1298;346;1422;155;1912;696;16,7;38,1;1,0743
16/03/2004;16.00.00;2,0;1281;144;11,4;1185;384;1351;198;2042;628;18,7;55,4;1,0452
16/03/2004;17.00.00;2,4;1540;199;11,8;1280;268;1271;167;2269;913;16,8;61,8;0,9632
16/03/2004;18.00.00;-200,0;-200;227;14,0;1514;358;1492;164;1892;802;19,3;32,9;1,0552
16/03/2004;19.00.00;2,4;1393;-200;9,2;1287;227;1190;206;2335;664;17,1;41,9;1,1174
16/03/2004;20.00.00;1,6;1357;-200;-200,0;-200;203;1160;109;1902;824;18,9;59,6;1,0137
16/03/2004;21.00.00;1,5;1376;226;11,7;1507;205;938;128;1872;898;16,3;47,1;1,1293
16/03/2004;22.00.00;1,9;1334;204;12,9;1463;167;1260;129;1731;825;15,4;67,8;1,1547
16/03/2004;23.00.00;1,7;1336;-200;-200,0;-200;274;1530;115;1690;446;16,9;78,9;1,0295
17/03/2004;00.00.00;1,6;1302;185;14,3;1614;305;1452;125;2037;680;15,2;61,4;0,8290
17/03/2004;01.00.00;1,6;1285;213;13,0;1282;286;1283;118;1912;1128;16,3;44,5;1,2145
17/03/2004;02.00.00;1,3;1215;180;9,2;1334;149;958;106;2061;977;15,7;41,8;1,2141
17/03/2004;03.00.00;-200,0;-200;178;11,4;1499;353;1368;122;1663;653;14,5;46,9;1,0226
17/03/2004;04.00.00;1,7;1301;-200;7,4;1240;250;1278;113;1844;766;11,9;64,1;1,1034
17/03/2004;05.00.00;1,4;1268;166;12,3;1445;316;1440;138;1980;752;13,9;42,6;0,9300
17/03/2004;06.00.00;2,3;1440;-200;-200,0;-200;-200;-200;117;1797;333;11,4;47,4;0,9707
17/03/2004;07.00.00;2,0;1440;192;11,3;1151;267;1233;-200;-200;1179;9,9;52,0;0,8158
17/03/2004;08.00.00;1,6;1362;170;11,1;1340;-200;-200;154;2045;836;11,9;36,9;1,0323
17/03/2004;09.00.00;2,3;1388;-200;15,1;1423;402;1495;159;2076;930;10,5;54,3;0,9444
17/03/2004;10.00.00;2,0;1361;226;12,8;1480;360;1431;125;1736;1275;11,3;49,8;0,8170
17/03/2004;11.00.00;2,6;1580;293;12,5;1322;-200;-200;153;1795;1144;8,1;44,7;0,7708
17/03/2004;12.00.00;2,8;1570;185;12,4;1504;316;1455;151;1680;893;11,2;44,1;0,8229
17/03/2004;13.00.00;2,2;1464;226;12,9;1404;350;1482;145;1764;881;14,3;41,3;1,0455
17/03/2004;14.00.00;2,8;1569;220;13,4;1341;243;1079;115;2115;1101;14,7;66,0;1,0085
17/03/2004;15.00.00;2,6;1508;228;12,7;1342;219;1033;155;1899;612;18,3;47,1;1,0955
17/03/2004;16.00.00;2,7;1533;285;13,4;1337;277;1180;163;2227;723;18,7;48,7;1,1181
17/03/2004;17.00.00;2,9;1564;185;13,3;1461;353;1354;201;2198;423;19,7;59,2;1,1172
17/03/2004;18.00.00;2,2;1478;198;9,2;1322;352;1426;113;1710;948;17,3;53,8;1,1084
17/03/2004;19.00.00;1,9;1360;184;11,7;1320;220;1131;102;1870;806;22,9;49,7;1,1654
17/03/2004;20.00.00;1,7;1340;184;11,4;1225;346;1376;164;2009;1077;22,7;53,8;1,0686
17/03/2004;21.00.00;1,6;1361;135;11,5;1374;231;1137;87;1596;919;20,4;38,1;0,9721
17/03/2004;22.00.00;1,7;1328;-200;9,4;1268;277;1168;178;2093;700;17,7;55,1;1,0997
17/03/2004;23.00.00;1,7;1346;242;9,9;1244;225;1104;170;1978;1035;15,6;42,4;1,1455
18/03/2004;00.00.00;1,6;1312;216;14,6;1450;238;1420;150;2159;834;16,3;60,8;1,0090
18/03/2004;01.00.00;1,8;1348;-200;10,0;1430;336;1443;89;1554;847;15,2;51,9;1,2920
18/03/2004;02.00.00;1,5;1284;203;12,0;1342;208;1118;125;1907;1009;16,6;51,9;1,0067
18/03/2004;03.00.00;2,0;1363;234;10,3;1171;206;963;137;2128;676;16,0;52,6;1,2595
18/03/2004;04.00.00;1,5;1262;206;7,2;1150;271;1143;138;1976;808;10,3;42,4;0,9017
18/03/2004;05.00.00;2,5;1483;222;12,7;1488;329;1354;165;2072;640;10,5;50,9;1,0288
18/03/2004;06.00.00;1,9;1438;250;13,1;1501;189;1215;116;1658;916;11,3;62,5;0,8833
18/03/2004;07.00.00;1,6;1353;177;10,6;1168;276;1275;164;1937;847;10,0;40,7;0,8375
18/03/2004;08.00.00;1,7;1256;195;7,4;1290;293;1309;149;2093;863;12,1;57,1;0,9708
18/03/2004;09.00.00;2,3;1433;236;8,1;1225;384;1580;160;1766;803;7,9;63,5;0,9194
18/03/2004;10.00.00;2,2;1404;225;14,7;1590;279;1162;136;2192;834;12,8;66,3;0,9498
18/03/2004;11.00.00;2,6;1435;243;13,1;1720;387;1616;162;1983;422;10,3;53,4;0,7742
18/03/2004;12.00.00;2,6;1528;243;14,4;1594;-200;-200;87;1936;729;16,2;48,2;1,0739
18/03/2004;13.00.00;2,5;1487;239;13,4;1526;307;1431;161;1897;-200;15,4;67,2;1,2315
18/03/2004;14.00.00;2,2;1550;206;10,2;1286;277;1422;-200;-200;722;16,6;43,9;1,0338
18/03/2004;15.00.00;2,0;1389;189;-200,0;-200;330;1269;163;1893;792;13,6;50,8;1,0026
18/03/2004;16.00.00;2,3;1421;223;9,2;1139;255;1210;165;1827;932;14,0;51,6;0,8138
18/03/2004;17.00.00;2,6;1478;273;15,1;1564;267;1313;175;2218;1004;16,9;51,7;1,1838
18/03/2004;18.00.00;2,3;1440;218;13,3;1625;335;1341;182;2101;564;17,7;38,3;1,0924
18/03/2004;19.00.00;1,8;1380;220;13,0;1492;369;1412;129;2068;999;19,2;51,9;1,1888
18/03/2004;20.00.00;2,1;1445;214;14,7;1757;211;1082;170;2116;998;17,6;47,2;1,0153
18/03/2004;21.00.00;2,0;1543;270;-200,0;-200;236;986;153;1805;1005;21,7;45,7;1,1571
18/03/2004;22.00.00;1,5;1236;190;9,5;1302;261;1328;131;1843;963;19,8;48,8;1,0551
18/03/2004;23.00.00;1,7;1342;218;11,2;1344;222;1043;174;1916;1115;14,2;48,5;0,7625
19/03/2004;00.00.00;1,6;1282;175;13,7;1682;147;766;111;1814;-200;16,5;49,6;1,0311
19/03/2004;01.00.00;1,2;1252;151;7,2;1114;180;1164;103;1596;747;17,1;63,6;1,0413
19/03/2004;02.00.00;1,6;1390;198;11,3;1290;263;1276;61;1462;753;14,1;44,2;1,0649
19/03/2004;03.00.00;1,7;1380;235;13,0;1360;229;1026;105;1738;700;11,4;47,7;0,7932
19/03/2004;04.00.00;1,9;1318;225;12,4;1646;272;1353;124;1648;948;10,3;48,7;0,8860
19/03/2004;05.00.00;2,0;1426;146;14,1;1518;192;1151;-200;-200;956;11,6;36,4;0,8758
19/03/2004;06.00.00;1,3;1161;212;7,6;1188;257;1215;140;2109;905;7,9;37,3;0,6100
19/03/2004;07.00.00;1,6;1198;151;13,4;1519;152;969;158;2073;712;9,9;43,5;0,8662
19/03/2004;08.00.00;2,2;1418;239;11,1;1327;325;1338;103;1880;992;8,7;49,5;0,9689
19/03/2004;09.00.00;2,3;1487;234;8,4;1142;366;1453;148;1765;672;11,0;50,2;0,8492
19/03/2004;10.00.00;-200,0;-200;217;12,2;1326;239;1099;118;1743;465;11,5;34,8;0,9474
19/03/2004;11.00.00;3,5;1797;277;13,3;1382;329;1470;130;1722;563;15,3;36,6;1,0384
19/03/2004;12.00.00;-200,0;-200;220;12,9;1243;251;1258;161;2085;1020;11,8;49,7;0,9515
19/03/2004;13.00.00;2,8;1559;239;10,6;1336;341;1369;159;1750;809;15,8;36,6;0,9628
19/03/2004;14.00.00;2,8;1614;190;13,3;1310;344;1562;170;2127;705;16,2;34,1;1,0620
19/03/2004;15.00.00;2,7;1516;-200;12,2;1465;264;1198;170;2219;1221;14,2;64,0;0,9820
19/03/2004;16.00.00;2,3;1487;247;16,7;1716;286;1427;132;1924;934;21,0;56,6;1,0158
19/03/2004;17.00.00;2,6;1538;187;13,5;1415;374;1478;184;2067;1091;18,8;43,7;1,1148
19/03/2004;18.00.00;2,0;1355;235;12,5;1458;321;1417;112;1964;549;22,5;69,6;1,2432
19/03/2004;19.00.00;2,1;1431;151;11,7;1455;298;1260;109;1670;950;17,6;48,5;0,9796
19/03/2004;20.00.00;1,9;1480;169;14,2;1660;329;1171;149;1956;681;21,9;54,0;1,1981
19/03/2004;21.00.00;1,9;1435;197;12,8;1399;359;1467;144;1980;1017;16,4;51,5;1,2340
19/03/2004;22.00.00;-200,0;-200;227;15,9;1454;292;1165;124;1659;-200;14,4;55,4;1,1002
19/03/2004;23.00.00;1,1;1334;-200;12,3;1323;241;1120;96;1917;610;22,8;68,9;1,2139
20/03/2004;00.00.00;1,5;1329;176;10,2;1142;223;1153;140;1948;1029;19,4;43,8;1,1296
20/03/2004;01.00.00;0,7;1167;205;10,9;1393;213;1063;122;1914;534;19,1;65,6;1,0168
20/03/2004;02.00.00;1,1;1206;-200;11,7;1065;182;1060;90;1596;1094;14,4;60,0;0,9289
20/03/2004;03.00.00;1,5;1342;183;13,0;1348;153;1026;111;1769;1093;12,4;50,2;0,9921
20/03/2004;04.00.00;1,3;1262;176;11,4;1369;269;1092;98;1721;843;13,8;56,3;0,9805
20/03/2004;05.00.00;1,0;1205;172;7,4;1060;258;1243;56;1484;619;9,3;51,1;1,0646
20/03/2004;06.00.00;1,2;1240;253;10,4;1234;240;1118;165;2114;957;8,5;60,5;0,7509
20/03/2004;07.00.00;1,8;1403;203;11,8;1471;270;1134;142;1903;981;9,0;53,0;0,7845
20/03/2004;08.00.00;1,5;1339;241;11,1;1243;224;948;164;1880;919;11,9;61,7;0,7959
20/03/2004;09.00.00;1,9;1371;228;14,1;1458;342;1229;128;1750;482;8,0;43,0;1,0129
20/03/2004;10.00.00;2,0;1316;205;10,6;1424;230;1163;110;1608;732;12,7;44,0;0,7873
20/03/2004;11.00.00;1,9;1373;186;12,0;1362;362;1429;110;1771;786;12,3;38,6;0,9238
20/03/2004;12.00.00;-200,0;-200;256;13,4;1711;-200;-200;129;2168;762;13,4;41,0;0,9115
20/03/2004;13.00.00;2,4;1450;197;14,1;1615;333;1538;131;1871;914;10,4;66,3;0,6699
20/03/2004;14.00.00;1,6;1312;186;14,8;1655;306;1448;85;1454;543;13,7;42,0;0,8330
20/03/2004;15.00.00;2,2;1394;236;13,7;1347;364;1528;133;1835;626;15,9;48,8;0,9827
20/03/2004;16.00.00;1,9;1306;200;13,0;1439;270;1360;121;1835;786;18,2;51,3;1,0456
20/03/2004;17.00.00;2,3;1476;207;10,6;1300;349;1416;172;2268;474;17,3;68,9;1,1118
20/03/2004;18.00.00;1,7;1343;-200;-200,0;-200;261;1238;150;2183;634;22,6;57,9;1,1421
20/03/2004;19.00.00;1,8;1358;183;12,1;1351;301;1456;124;1860;906;19,3;42,6;1,0299
20/03/2004;20.00.00;1,9;1395;219;11,3;1353;195;1112;151;2169;1159;20,7;50,7;1,1927
20/03/2004;21.00.00;1,8;1333;205;12,6;1188;233;1189;103;1538;1120;19,9;36,0;1,2524
20/03/2004;22.00.00;1,1;1234;-200;9,0;1155;318;1454;83;1597;834;20,7;61,3;0,9806
20/03/2004;23.00.00;1,2;1316;-200;13,3;1633;298;1269;122;2025;905;18,5;46,7;1,0387
21/03/2004;00.00.00;1,1;1212;172;7,9;1139;-200;-200;125;1738;547;15,0;34,6;1,1476
21/03/2004;01.00.00;1,0;1299;169;9,7;1217;273;1111;116;1544;-200;15,5;54,0;0,9535
21/03/2004;02.00.00;1,7;1348;-200;10,7;1327;-200;-200;-200;-200;523;13,2;67,7;0,9170
21/03/2004;03.00.00;1,3;1225;169;12,9;1446;203;1074;147;2041;997;9,5;43,1;1,1776
21/03/2004;04.00.00;0,9;1220;257;9,3;1040;263;1199;148;1831;1012;14,8;44,9;1,0341
21/03/2004;05.00.00;1,6;1318;240;10,1;1318;301;1383;-200;-200;466;14,6;47,3;0,9840
21/03/2004;06.00.00;2,1;1469;254;12,3;1471;340;1279;151;1759;736;10,2;49,1;1,0261
