Datetime,CO_GT,PT08_S1_CO,NMHC_GT,C6H6_GT,PT08_S2_NMHC,NOx_GT,PT08_S3_NOx,NO2_GT,PT08_S4_NO2,PT08_S5_O3,T,RH,AH,IsWeekend,Hour_sin,Hour_cos,Month_sin,Month_cos
2004-03-19 02:00:00,0.9,999.0,506.0,3.6,688.0,48.0,1229.0,63.0,1380.0,594.0,12.5,69.3,1.0029,0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17
2004-03-19 03:00:00,0.7,961.0,506.0,2.5,622.0,48.0,1382.0,63.0,1301.0,430.0,12.5,67.5,0.9768,0,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17
2004-03-19 04:00:00,0.7,934.0,506.0,1.8,569.0,20.0,1440.0,32.0,1280.0,397.0,12.3,67.7,0.9665,0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2004-03-19 05:00:00,0.5,913.0,506.0,1.3,525.0,18.0,1620.0,28.0,1260.0,370.0,12.5,66.8,0.962,0,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17
2004-03-19 06:00:00,0.7,969.0,506.0,2.3,607.0,56.0,1373.0,61.0,1324.0,438.0,12.3,66.3,0.9487,0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2004-03-19 07:00:00,1.5,1182.0,506.0,6.7,845.0,115.0,1054.0,99.0,1539.0,704.0,12.4,64.9,0.9332,0,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17
2004-03-19 08:00:00,4.8,1740.0,506.0,22.8,1372.0,320.0,671.0,157.0,2144.0,1476.0,13.0,61.6,0.9209,0,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
2004-03-19 09:00:00,6.2,1819.0,506.0,31.3,1582.0,357.0,575.0,166.0,2456.0,1716.0,13.6,58.8,0.912,0,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17
2004-03-19 10:00:00,4.0,1427.0,506.0,19.2,1275.0,253.0,701.0,149.0,1980.0,1398.0,13.9,57.1,0.9032,0,0.49999999999999994,-0.8660254037844387,1.0,6.123233995736766e-17
2004-03-19 11:00:00,3.3,1390.0,506.0,16.4,1191.0,218.0,759.0,135.0,1879.0,1268.0,14.5,54.4,0.8917,0,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17
2004-03-19 12:00:00,2.8,1283.0,506.0,14.0,1117.0,192.0,813.0,127.0,1751.0,1188.0,15.5,50.1,0.8744,0,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17
2004-03-19 13:00:00,3.0,1304.0,506.0,15.3,1157.0,176.0,793.0,122.0,1801.0,1171.0,16.1,47.6,0.8655,0,-0.2588190451025208,-0.9659258262890683,1.0,6.123233995736766e-17
2004-03-19 14:00:00,3.3,1364.0,506.0,16.7,1202.0,198.0,771.0,135.0,1875.0,1250.0,16.3,47.1,0.864,0,-0.4999999999999997,-0.8660254037844388,1.0,6.123233995736766e-17
2004-03-19 15:00:00,3.5,1410.0,506.0,19.0,1268.0,212.0,724.0,139.0,1957.0,1344.0,16.4,47.5,0.8791,0,-0.7071067811865471,-0.7071067811865479,1.0,6.123233995736766e-17
2004-03-19 16:00:00,4.0,1476.0,506.0,19.4,1280.0,249.0,708.0,147.0,1955.0,1378.0,16.1,50.2,0.9094,0,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17
2004-03-19 17:00:00,4.6,1522.0,506.0,20.9,1320.0,270.0,690.0,158.0,2005.0,1435.0,16.0,50.7,0.9142,0,-0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17
2004-03-19 18:00:00,4.1,1442.0,506.0,20.2,1301.0,231.0,704.0,146.0,1952.0,1372.0,15.8,50.3,0.8989,0,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17
2004-03-19 19:00:00,4.5,1469.0,506.0,21.7,1344.0,251.0,677.0,144.0,1997.0,1471.0,15.5,50.6,0.884,0,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17
2004-03-19 20:00:00,3.9,1467.0,506.0,19.8,1292.0,210.0,698.0,138.0,1942.0,1439.0,15.4,51.4,0.8956,0,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2004-03-19 21:00:00,4.0,1421.0,506.0,16.7,1202.0,249.0,748.0,143.0,1854.0,1429.0,15.2,53.1,0.9117,0,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17
2004-03-20 01:00:00,1.6,1090.0,506.0,5.2,773.0,86.0,1105.0,83.0,1429.0,761.0,13.9,55.9,0.8842,1,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17
2004-03-20 04:00:00,1.3,945.0,506.0,2.9,646.0,44.0,1308.0,55.0,1332.0,505.0,13.8,54.6,0.8574,1,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2004-03-20 05:00:00,0.8,956.0,506.0,3.1,661.0,42.0,1260.0,53.0,1351.0,518.0,13.6,55.1,0.856,1,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17
2004-03-20 06:00:00,0.8,966.0,506.0,2.5,622.0,63.0,1317.0,67.0,1342.0,571.0,13.6,59.0,0.9129,1,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2004-03-20 08:00:00,2.1,1300.0,506.0,8.9,935.0,170.0,902.0,113.0,1623.0,1145.0,13.8,58.0,0.9083,1,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
2004-03-20 09:00:00,2.4,1348.0,506.0,10.5,998.0,147.0,834.0,102.0,1689.0,1218.0,14.6,53.1,0.8765,1,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17
2004-03-20 10:00:00,2.6,1425.0,506.0,12.5,1068.0,166.0,776.0,107.0,1764.0,1341.0,15.0,52.3,0.8881,1,0.49999999999999994,-0.8660254037844387,1.0,6.123233995736766e-17
2004-03-20 11:00:00,2.8,1474.0,506.0,12.3,1061.0,195.0,768.0,113.0,1768.0,1406.0,15.4,52.1,0.9046,1,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17
2004-03-20 12:00:00,2.6,1490.0,506.0,11.7,1039.0,182.0,782.0,108.0,1757.0,1422.0,16.3,50.0,0.9158,1,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17
2004-03-20 13:00:00,2.6,1495.0,506.0,11.7,1040.0,168.0,809.0,105.0,1735.0,1373.0,17.1,47.9,0.9281,1,-0.2588190451025208,-0.9659258262890683,1.0,6.123233995736766e-17
2004-03-20 14:00:00,2.1,1376.0,506.0,9.3,953.0,125.0,900.0,93.0,1636.0,1153.0,19.0,42.9,0.937,1,-0.4999999999999997,-0.8660254037844388,1.0,6.123233995736766e-17
2004-03-20 15:00:00,1.7,1305.0,506.0,7.6,884.0,95.0,980.0,87.0,1573.0,927.0,19.5,42.3,0.9476,1,-0.7071067811865471,-0.7071067811865479,1.0,6.123233995736766e-17
2004-03-20 16:00:00,1.6,1283.0,506.0,6.7,844.0,79.0,1036.0,76.0,1539.0,766.0,19.5,42.3,0.9493,1,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17
2004-03-20 17:00:00,2.1,1392.0,506.0,9.7,967.0,119.0,930.0,94.0,1649.0,941.0,19.1,43.8,0.9556,1,-0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17
2004-03-20 18:00:00,2.3,1452.0,506.0,12.4,1063.0,142.0,856.0,110.0,1774.0,1146.0,18.5,46.3,0.9744,1,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17
2004-03-20 19:00:00,3.5,1633.0,506.0,16.6,1199.0,215.0,734.0,136.0,1919.0,1417.0,17.4,51.6,1.0159,1,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17
2004-03-20 20:00:00,3.9,1625.0,506.0,16.4,1191.0,229.0,733.0,139.0,1885.0,1442.0,17.1,51.3,0.9914,1,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2004-03-20 21:00:00,3.3,1535.0,506.0,13.7,1108.0,206.0,785.0,125.0,1820.0,1323.0,16.4,53.8,0.9964,1,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17
2004-03-20 22:00:00,2.3,1323.0,506.0,9.9,973.0,147.0,864.0,111.0,1712.0,1125.0,16.2,55.4,1.0132,1,-0.5000000000000004,0.8660254037844384,1.0,6.123233995736766e-17
2004-03-20 23:00:00,2.1,1309.0,506.0,8.9,937.0,122.0,905.0,97.0,1672.0,1036.0,15.9,57.7,1.0356,1,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17
2004-03-21 00:00:00,2.8,1456.0,506.0,10.6,999.0,175.0,835.0,107.0,1714.0,1202.0,15.7,58.6,1.0396,1,0.0,1.0,1.0,6.123233995736766e-17
2004-03-21 01:00:00,2.1,1300.0,506.0,7.4,872.0,133.0,941.0,90.0,1577.0,1054.0,15.1,60.9,1.0398,1,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17
2004-03-21 02:00:00,1.6,1203.0,506.0,6.2,823.0,89.0,1004.0,84.0,1526.0,903.0,15.6,56.6,0.9951,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17
2004-03-21 03:00:00,1.6,1195.0,506.0,6.5,836.0,89.0,987.0,84.0,1554.0,885.0,15.2,57.9,0.9941,1,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17
2004-03-21 04:00:00,1.6,1117.0,506.0,5.8,802.0,85.0,1029.0,87.0,1539.0,818.0,15.4,57.8,1.0021,1,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2004-03-21 06:00:00,0.7,947.0,506.0,2.1,594.0,24.0,1300.0,36.0,1390.0,580.0,14.5,63.0,1.0316,1,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2004-03-21 11:00:00,1.8,1279.0,506.0,7.3,870.0,106.0,911.0,81.0,1646.0,1000.0,18.9,49.6,1.07,1,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17
2004-03-21 12:00:00,1.8,1267.0,506.0,7.6,883.0,103.0,953.0,82.0,1617.0,906.0,19.4,46.1,1.0249,1,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17
2004-03-21 13:00:00,1.9,1239.0,506.0,6.8,848.0,102.0,981.0,80.0,1568.0,822.0,20.8,41.6,1.0091,1,-0.2588190451025208,-0.9659258262890683,1.0,6.123233995736766e-17
2004-03-21 14:00:00,1.3,1128.0,506.0,4.6,742.0,48.0,1144.0,48.0,1507.0,610.0,21.4,40.3,1.0126,1,-0.4999999999999997,-0.8660254037844388,1.0,6.123233995736766e-17
2004-03-21 15:00:00,1.6,1243.0,506.0,8.4,916.0,63.0,962.0,61.0,1669.0,657.0,21.2,39.3,0.9791,1,-0.7071067811865471,-0.7071067811865479,1.0,6.123233995736766e-17
2004-03-21 17:00:00,2.3,1306.0,506.0,9.0,938.0,132.0,961.0,105.0,1607.0,762.0,19.4,41.3,0.9206,1,-0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17
2004-03-21 18:00:00,3.8,1546.0,506.0,15.1,1151.0,173.0,769.0,116.0,1874.0,1122.0,18.5,43.8,0.9252,1,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17
2004-03-21 19:00:00,3.5,1501.0,506.0,12.6,1071.0,185.0,823.0,119.0,1744.0,1130.0,17.8,48.1,0.9689,1,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17
2004-03-21 20:00:00,4.3,1605.0,506.0,15.1,1153.0,266.0,769.0,144.0,1840.0,1637.0,17.9,46.9,0.952,1,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2004-03-21 21:00:00,2.8,1316.0,506.0,9.9,974.0,188.0,883.0,123.0,1673.0,1272.0,17.4,49.1,0.9688,1,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17
2004-03-22 00:00:00,1.7,1161.0,506.0,6.1,815.0,93.0,995.0,86.0,1582.0,909.0,16.1,60.0,1.0919,0,0.0,1.0,1.0,6.123233995736766e-17
2004-03-22 01:00:00,1.5,1095.0,506.0,5.1,767.0,74.0,1050.0,76.0,1547.0,818.0,15.8,60.5,1.0805,0,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17
2004-03-22 02:00:00,0.6,897.0,506.0,1.7,563.0,23.0,1417.0,33.0,1355.0,472.0,16.3,57.0,1.0491,0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17
2004-03-22 03:00:00,0.4,842.0,506.0,0.7,468.0,23.0,1813.0,33.0,1274.0,394.0,16.9,53.9,1.0309,0,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17
